"","clonal_count","subclonal_count","binding_clonal","binding_subclonal"
"1",6,420,4,214
"2",4,431,2,210
"3",4,396,2,210
"4",2,393,0,188
"5",5,421,2,203
"6",4,406,1,189
"7",5,406,2,211
"8",5,388,2,208
"9",6,409,4,215
"10",3,396,2,234
"11",3,410,1,206
"12",0,438,0,234
"13",4,400,3,196
"14",5,414,1,211
"15",6,415,5,198
"16",1,390,0,186
"17",5,374,3,172
"18",4,379,3,187
"19",4,407,3,220
"20",7,406,5,212
"21",4,397,2,191
"22",5,422,2,209
"23",6,392,1,202
"24",5,396,3,205
"25",6,398,4,211
"26",1,420,0,199
"27",3,401,2,191
"28",3,398,0,202
"29",4,399,3,190
"30",3,413,1,217
"31",3,380,1,189
"32",5,414,1,211
"33",7,402,3,213
"34",4,407,1,189
"35",2,407,2,218
"36",1,408,0,224
"37",6,365,3,183
"38",1,393,1,202
"39",3,401,2,203
"40",3,421,2,218
"41",1,397,1,195
"42",5,392,1,200
"43",0,408,0,225
"44",5,410,2,198
"45",3,401,1,213
"46",6,404,3,213
"47",2,394,2,183
"48",1,404,0,214
"49",3,405,3,197
"50",7,410,4,199
"51",3,396,2,181
"52",2,417,1,214
"53",2,406,0,215
"54",1,397,1,206
"55",1,389,1,186
"56",3,419,3,218
"57",1,411,0,217
"58",2,414,2,218
"59",7,390,2,200
"60",5,398,2,193
"61",4,423,2,217
"62",5,385,3,197
"63",7,383,4,200
"64",5,415,4,203
"65",0,408,0,222
"66",4,417,3,210
"67",5,380,2,193
"68",5,400,3,197
"69",2,438,1,217
"70",0,402,0,201
"71",4,374,3,190
"72",2,380,1,194
"73",1,408,1,221
"74",3,385,2,199
"75",3,412,2,215
"76",1,421,1,200
"77",3,402,1,198
"78",3,408,1,205
"79",5,417,2,210
"80",0,402,0,196
"81",4,418,2,200
"82",1,381,0,176
"83",5,391,0,195
"84",4,387,1,189
"85",7,397,3,213
"86",4,401,2,201
"87",2,417,1,217
"88",5,396,2,197
"89",7,401,5,211
"90",2,383,2,202
"91",2,414,1,204
"92",6,398,3,214
"93",4,404,2,208
"94",5,388,1,199
"95",2,405,1,207
"96",4,374,4,204
"97",3,433,1,213
"98",2,399,1,192
"99",3,396,1,201
"100",5,390,2,201
