"","clonal_count","subclonal_count","binding_clonal","binding_subclonal"
"1",2,549,1,115
"2",1,567,0,135
"3",0,575,0,115
"4",1,580,1,113
"5",1,582,1,169
"6",2,572,0,133
"7",1,582,0,120
"8",1,584,0,156
"9",4,543,3,121
"10",0,553,0,124
"11",1,602,0,130
"12",2,580,0,131
"13",2,577,0,135
"14",1,594,1,124
"15",3,551,1,121
"16",1,562,0,118
"17",2,598,2,159
"18",0,580,0,113
"19",2,565,0,129
"20",1,576,1,136
"21",1,553,0,130
"22",2,583,1,115
"23",3,605,1,139
"24",4,564,2,129
"25",4,573,1,130
"26",0,553,0,120
"27",2,559,1,121
"28",1,574,1,132
"29",4,565,1,127
"30",3,600,0,147
"31",2,580,0,128
"32",3,567,0,119
"33",4,581,0,153
"34",1,581,1,137
"35",3,588,1,128
"36",1,575,0,134
"37",3,575,0,130
"38",0,578,0,152
"39",1,580,0,142
"40",1,565,0,110
"41",0,564,0,119
"42",2,562,0,118
"43",2,563,0,121
"44",4,564,1,117
"45",2,602,1,144
"46",5,564,2,118
"47",2,579,0,135
"48",0,551,0,127
"49",4,595,1,134
"50",1,569,0,124
"51",1,578,0,107
"52",0,564,0,124
"53",3,548,0,141
"54",1,609,0,153
"55",1,605,0,142
"56",2,576,1,145
"57",6,555,1,124
"58",5,583,2,147
"59",2,592,1,152
"60",0,595,0,120
"61",1,566,0,122
"62",4,573,0,136
"63",3,564,0,115
"64",4,588,2,138
"65",4,561,1,133
"66",2,575,0,128
"67",3,583,0,126
"68",1,573,0,120
"69",3,578,1,127
"70",4,578,0,133
"71",4,535,1,120
"72",3,571,0,139
"73",2,563,1,134
"74",1,587,0,137
"75",3,569,0,131
"76",2,530,1,109
"77",1,569,0,131
"78",4,564,1,121
"79",5,584,1,111
"80",2,572,0,123
"81",0,561,0,128
"82",1,569,0,109
"83",2,582,0,142
"84",7,597,0,133
"85",2,557,1,133
"86",2,547,0,107
"87",2,540,0,119
"88",3,595,2,133
"89",0,574,0,144
"90",2,563,1,127
"91",4,591,2,141
"92",5,581,1,148
"93",2,584,0,124
"94",4,543,0,119
"95",1,562,1,121
"96",1,572,0,148
"97",5,570,2,133
"98",2,605,0,163
"99",1,542,0,127
"100",2,585,0,138
