"","clonal_count","subclonal_count","binding_clonal","binding_subclonal"
"1",16,1217,7,468
"2",16,1225,7,508
"3",12,1219,5,522
"4",14,1216,8,472
"5",22,1217,8,508
"6",22,1196,11,490
"7",20,1257,6,517
"8",12,1228,4,562
"9",17,1195,5,515
"10",25,1202,13,521
"11",23,1213,7,523
"12",17,1259,7,539
"13",14,1220,6,481
"14",18,1203,9,484
"15",25,1269,7,532
"16",16,1248,8,476
"17",20,1235,7,530
"18",13,1220,5,516
"19",19,1190,2,514
"20",14,1233,7,518
"21",20,1202,12,524
"22",15,1218,6,497
"23",21,1243,13,513
"24",17,1235,10,501
"25",14,1179,5,495
"26",17,1210,5,501
"27",10,1218,3,514
"28",20,1196,9,503
"29",15,1234,6,502
"30",15,1249,8,521
"31",21,1231,8,487
"32",21,1241,11,509
"33",24,1200,10,494
"34",10,1246,5,526
"35",11,1185,5,512
"36",15,1237,6,514
"37",17,1218,7,494
"38",26,1216,10,542
"39",32,1194,13,500
"40",15,1237,6,540
"41",18,1223,9,491
"42",17,1217,6,548
"43",25,1225,10,500
"44",14,1231,4,486
"45",17,1210,7,497
"46",24,1214,6,518
"47",19,1263,8,472
"48",13,1242,4,534
"49",14,1239,3,529
"50",24,1232,7,539
"51",10,1237,5,517
"52",16,1230,5,543
"53",20,1197,11,488
"54",23,1212,10,491
"55",14,1211,4,530
"56",18,1240,4,542
"57",17,1197,8,492
"58",14,1213,5,531
"59",15,1206,5,492
"60",26,1198,10,499
"61",14,1278,6,541
"62",17,1236,8,540
"63",15,1231,8,517
"64",18,1245,6,523
"65",14,1247,5,498
"66",14,1285,5,587
"67",17,1227,7,472
"68",13,1209,6,507
"69",14,1214,5,504
"70",17,1199,7,503
"71",14,1242,8,539
"72",25,1177,13,480
"73",19,1189,8,500
"74",24,1173,10,488
"75",16,1201,8,496
"76",25,1215,6,506
"77",18,1236,8,501
"78",13,1215,4,522
"79",17,1225,6,522
"80",15,1251,7,528
"81",12,1228,8,511
"82",24,1202,10,508
"83",22,1218,10,511
"84",24,1196,10,490
"85",24,1240,9,509
"86",20,1244,4,524
"87",20,1173,6,498
"88",9,1252,4,514
"89",12,1219,3,512
"90",13,1234,9,516
"91",13,1243,8,542
"92",19,1213,10,540
"93",22,1163,10,460
"94",17,1279,6,546
"95",19,1215,4,502
"96",21,1236,10,495
"97",20,1246,7,548
"98",26,1233,10,514
"99",23,1213,11,478
"100",16,1255,6,499
