"","count","binding_clonal"
"1",2715,1593
"2",2706,1593
"3",2635,1512
"4",2704,1522
"5",2760,1531
"6",2707,1555
"7",2647,1497
"8",2653,1531
"9",2673,1570
"10",2698,1567
"11",2743,1548
"12",2653,1525
"13",2696,1548
"14",2639,1486
"15",2648,1528
"16",2679,1512
"17",2688,1570
"18",2679,1549
"19",2683,1582
"20",2687,1552
"21",2637,1543
"22",2667,1557
"23",2625,1517
"24",2666,1535
"25",2690,1559
"26",2644,1516
"27",2696,1565
"28",2726,1547
"29",2686,1561
"30",2660,1553
"31",2666,1581
"32",2696,1566
"33",2667,1521
"34",2652,1511
"35",2584,1450
"36",2641,1555
"37",2665,1485
"38",2647,1523
"39",2627,1537
"40",2684,1536
"41",2627,1488
"42",2666,1556
"43",2729,1579
"44",2708,1591
"45",2609,1484
"46",2656,1545
"47",2643,1483
"48",2655,1567
"49",2643,1534
"50",2619,1503
"51",2631,1527
"52",2593,1471
"53",2694,1564
"54",2700,1572
"55",2653,1540
"56",2677,1526
"57",2667,1533
"58",2742,1529
"59",2688,1550
"60",2707,1585
"61",2642,1561
"62",2665,1544
"63",2672,1523
"64",2666,1515
"65",2693,1596
"66",2686,1578
"67",2702,1545
"68",2669,1556
"69",2676,1539
"70",2663,1523
"71",2650,1452
"72",2654,1552
"73",2716,1524
"74",2683,1522
"75",2690,1538
"76",2681,1563
"77",2681,1537
"78",2676,1552
"79",2695,1576
"80",2672,1499
"81",2630,1533
"82",2660,1553
"83",2702,1498
"84",2677,1512
"85",2661,1516
"86",2651,1526
"87",2659,1578
"88",2659,1551
"89",2726,1571
"90",2649,1584
"91",2636,1526
"92",2710,1550
"93",2766,1616
"94",2580,1480
"95",2660,1555
"96",2660,1547
"97",2607,1504
"98",2673,1572
"99",2708,1579
"100",2716,1528
