"","count","binding_clonal"
"1",562,157
"2",580,172
"3",583,179
"4",598,180
"5",568,167
"6",564,166
"7",560,153
"8",565,149
"9",575,163
"10",580,180
"11",591,179
"12",590,167
"13",608,177
"14",584,170
"15",563,176
"16",557,171
"17",592,174
"18",580,155
"19",585,182
"20",553,157
"21",568,150
"22",539,159
"23",591,183
"24",593,168
"25",566,184
"26",575,203
"27",562,168
"28",592,178
"29",546,157
"30",594,170
"31",589,185
"32",567,167
"33",602,196
"34",567,185
"35",578,170
"36",596,181
"37",558,152
"38",561,152
"39",565,182
"40",572,168
"41",579,181
"42",572,158
"43",558,159
"44",584,199
"45",593,188
"46",571,177
"47",566,154
"48",588,194
"49",585,166
"50",599,178
"51",561,160
"52",610,173
"53",576,160
"54",543,177
"55",594,194
"56",573,177
"57",592,199
"58",602,154
"59",580,180
"60",561,162
"61",581,180
"62",547,167
"63",571,147
"64",583,172
"65",584,198
"66",597,184
"67",579,157
"68",588,189
"69",595,171
"70",569,198
"71",567,168
"72",587,173
"73",566,162
"74",596,194
"75",588,182
"76",579,195
"77",594,202
"78",569,168
"79",588,168
"80",600,166
"81",600,186
"82",584,170
"83",541,169
"84",602,178
"85",562,169
"86",610,191
"87",593,182
"88",617,158
"89",594,166
"90",561,166
"91",599,195
"92",565,159
"93",590,175
"94",570,159
"95",616,169
"96",575,177
"97",582,166
"98",595,191
"99",587,165
"100",560,169
