"","count","binding_clonal"
"1",4777,1500
"2",4770,1499
"3",4774,1494
"4",4802,1456
"5",4739,1524
"6",4702,1429
"7",4706,1380
"8",4746,1336
"9",4761,1459
"10",4833,1501
"11",4757,1392
"12",4799,1449
"13",4704,1455
"14",4708,1414
"15",4669,1363
"16",4711,1422
"17",4682,1436
"18",4749,1378
"19",4812,1493
"20",4726,1401
"21",4755,1453
"22",4692,1401
"23",4677,1383
"24",4732,1370
"25",4716,1497
"26",4656,1444
"27",4730,1458
"28",4720,1454
"29",4716,1391
"30",4779,1452
"31",4831,1492
"32",4710,1459
"33",4853,1449
"34",4704,1385
"35",4740,1404
"36",4710,1429
"37",4690,1430
"38",4809,1517
"39",4674,1392
"40",4761,1419
"41",4765,1448
"42",4735,1423
"43",4715,1420
"44",4750,1408
"45",4692,1380
"46",4807,1493
"47",4693,1440
"48",4744,1412
"49",4701,1422
"50",4735,1410
"51",4746,1433
"52",4676,1397
"53",4724,1410
"54",4653,1395
"55",4784,1482
"56",4745,1383
"57",4718,1400
"58",4747,1503
"59",4767,1519
"60",4737,1395
"61",4805,1451
"62",4742,1427
"63",4658,1428
"64",4734,1434
"65",4783,1482
"66",4757,1446
"67",4671,1378
"68",4857,1424
"69",4853,1484
"70",4798,1478
"71",4710,1429
"72",4747,1396
"73",4726,1378
"74",4857,1476
"75",4710,1378
"76",4743,1441
"77",4788,1462
"78",4765,1446
"79",4783,1429
"80",4766,1426
"81",4760,1484
"82",4756,1429
"83",4744,1442
"84",4806,1450
"85",4731,1431
"86",4730,1363
"87",4716,1476
"88",4837,1442
"89",4717,1423
"90",4662,1441
"91",4713,1439
"92",4832,1486
"93",4690,1434
"94",4767,1509
"95",4737,1378
"96",4691,1396
"97",4761,1460
"98",4777,1526
"99",4782,1400
"100",4711,1435
