"","Anonymized_sample_name","purity","sample"
"s_CSCC_4","Sample_1",0.58681494557552,"s_CSCC_4"
"s_CSCC_6","Sample_2",0.660805761872592,"s_CSCC_6"
"s_CSCC_8","Sample_4",0.628935445705123,"s_CSCC_8"
"s_CSCC_10T","Sample_5",0.659741404318349,"s_CSCC_10T"
"s_CSCC_12","Sample_6",0.410724294241991,"s_CSCC_12"
"s_CSCC_14","Sample_7",0.624600005241672,"s_CSCC_14"
"s_CSCC_16","Sample_8",0.527282121764208,"s_CSCC_16"
"s_CSCC_18","Sample_9",0.559594175288185,"s_CSCC_18"
"s_CSCC_29","Sample_12",0.713838598845046,"s_CSCC_29"
"s_CSCC_39T","Sample_13",0.591324348265643,"s_CSCC_39T"
"s_CSCC_48","Sample_15",0.567315100375918,"s_CSCC_48"
"s_CSCC_52","Sample_16",0.471983448880234,"s_CSCC_52"
"s_097.T2a_B2","Sample_18",0.602162977867787,"s_097.T2a_B2"
"s_CSCC_310_T2a_B4","Sample_19",0.726457288484042,"s_CSCC_310_T2a_B4"
"s_101.T2a_B2","Sample_20",0.633626871484868,"s_101.T2a_B2"
"s_CSCC_322_T2b_B4","Sample_21",0.651480196565745,"s_CSCC_322_T2b_B4"
"s_CSCC_320_T2a_B4","Sample_22",0.612892746789525,"s_CSCC_320_T2a_B4"
"s_109.T2a_B2","Sample_23",0.57399300587457,"s_109.T2a_B2"
"s_CSCC_306_T2a_B4","Sample_24",0.626852092214408,"s_CSCC_306_T2a_B4"
"s_151.T2a_B2","Sample_25",0.62259061676812,"s_151.T2a_B2"
"s_CSCC_304_T2b_B4","Sample_26",0.690711289716682,"s_CSCC_304_T2b_B4"
"s_153.T2a_B2","Sample_27",0.555426173293874,"s_153.T2a_B2"
"s_155.T2a_B2","Sample_29",0.690217125860411,"s_155.T2a_B2"
"s_159.T2a_B2","Sample_33",0.518529683151678,"s_159.T2a_B2"
"s_CSCC_363_T2a_B4","Sample_36",0.506019661758982,"s_CSCC_363_T2a_B4"
"s_163.T2a_B2","Sample_37",0.634023167384024,"s_163.T2a_B2"
"s_165.T2a_B2","Sample_38",0.606554295936874,"s_165.T2a_B2"
"s_167.T2a_B2","Sample_39",0.450193297599758,"s_167.T2a_B2"
"s_169.T2a_B2","Sample_40",0.487159461893111,"s_169.T2a_B2"
"s_171.T2a_B2","Sample_41",0.466294502022524,"s_171.T2a_B2"
"s_200.T2b_B2","Sample_42",0.703206293273296,"s_200.T2b_B2"
"s_201.T2b_B2","Sample_43",0.715561273581841,"s_201.T2b_B2"
"s_203.T2b_B2","Sample_44",0.554619897428295,"s_203.T2b_B2"
"s_205.T2b_B2","Sample_45",0.554783493558513,"s_205.T2b_B2"
"s_073.T2a_B2","Sample_46",0.698562827825078,"s_073.T2a_B2"
"s_072.T2b_B2","Sample_47",0.608699536349639,"s_072.T2b_B2"
"s_CSCC_373_T2b_B4","Sample_48",0.521200098256592,"s_CSCC_373_T2b_B4"
"s_085.T2a_B2","Sample_49",0.405120787254391,"s_085.T2a_B2"
"s_CSCC_359_T2a_B4","Sample_50",0.749329888623926,"s_CSCC_359_T2a_B4"
"s_CSCC_349_T3_B4","Sample_51",0.704639777564024,"s_CSCC_349_T3_B4"
"s_093.T2a_B2","Sample_52",0.504345899102329,"s_093.T2a_B2"
"s_CSCC_316_T2b_B4","Sample_53",0.753248517578339,"s_CSCC_316_T2b_B4"
"CSCC_NPT.001.2_T2b","Sample_58",0.709624600509786,"CSCC_NPT-001-2_T2b"
"CSCC_NPT.002.1_T2a","Sample_59",0.668107433197155,"CSCC_NPT-002-1_T2a"
"CSCC_NPT.004.2_T2a","Sample_60",0.67921677911471,"CSCC_NPT-004-2_T2a"
"CSCC_NPT.010.2_T3","Sample_61",0.574323633374748,"CSCC_NPT-010-2_T3"
"CSCC_NPT.015_T2a","Sample_57",0.569099815952724,"CSCC_NPT-015_T2a"
"CSCC_NPT.017.1_T2b","Sample_62",0.743995493574812,"CSCC_NPT-017-1_T2b"
"CSCC_NPT.050_T2a","Sample_63",0.75009847229963,"CSCC_NPT-050_T2a"
"CSCC_NPT.055_T2a","Sample_64",0.667838246338362,"CSCC_NPT-055_T2a"
"CSCC_NPT.062_T2a","Sample_54",0.56146018105479,"CSCC_NPT-062_T2a"
"CSCC_NPT.083_T2a","Sample_65",0.776212550473415,"CSCC_NPT-083_T2a"
"CSCC_NPT.113_T2b","Sample_66",0.59372562862499,"CSCC_NPT-113_T2b"
"CSCC_NPT.133_T2b","Sample_67",0.623895215881658,"CSCC_NPT-133_T2b"
"CSCC_NPT.138_T2a","Sample_68",0.697311646387277,"CSCC_NPT-138_T2a"
"CSCC_NPT.164_T2a","Sample_55",0.561984906516131,"CSCC_NPT-164_T2a"
"CSCC_NPT.169_T2b","Sample_56",0.468564023455459,"CSCC_NPT-169_T2b"
"CSCC_NPT.182_T2b","Sample_69",0.658200937881585,"CSCC_NPT-182_T2b"
"CSCC_NPT.183_T2b","Sample_70",0.676963539676354,"CSCC_NPT-183_T2b"
