Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
s_060-T2b_B2_DNA_trimmed_read1	s_060-T2b_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24716905.0	0.0	75-151	48.0	84.56782126771375	143.82116984306896	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	fail
s_060-T2b_B2_DNA_trimmed_read2	s_060-T2b_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24716905.0	0.0	75-151	48.0	85.42743246828472	138.60646606037446	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	fail
s_061-T2b_B2_DNA_trimmed_read1	s_061-T2b_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18650364.0	0.0	75-151	48.0	84.77536422589692	143.9202651487124	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	fail
s_061-T2b_B2_DNA_trimmed_read2	s_061-T2b_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18650364.0	0.0	75-151	48.0	85.3607458691662	139.43729559380182	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	fail
s_064-T2b_B2_DNA_trimmed_read1	s_064-T2b_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20655864.0	0.0	75-151	50.0	68.88392276461282	145.07582708716518	pass	pass	fail	pass	warn	pass	pass	warn	warn	pass	fail
s_064-T2b_B2_DNA_trimmed_read2	s_064-T2b_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20655864.0	0.0	75-151	50.0	69.96154799995324	139.94223422462503	pass	pass	fail	pass	warn	pass	pass	warn	warn	pass	fail
s_065-T2b_B2_DNA_trimmed_read1	s_065-T2b_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39472417.0	0.0	75-151	49.0	79.66666286043682	144.26266255750187	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	fail
s_065-T2b_B2_DNA_trimmed_read2	s_065-T2b_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39472417.0	0.0	75-151	49.0	80.62242002861775	138.75459711524633	pass	pass	pass	pass	pass	fail	pass	warn	pass	pass	fail
s_068-T2b_B2_DNA_trimmed_read1	s_068-T2b_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25522414.0	0.0	75-151	50.0	83.11074025316478	143.61791576611836	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	fail
s_068-T2b_B2_DNA_trimmed_read2	s_068-T2b_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25522414.0	0.0	75-151	50.0	83.706368601046	138.743025561767	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	fail
s_069-T2b_B2_DNA_trimmed_read1	s_069-T2b_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32143660.0	0.0	75-151	49.0	80.43677216355228	144.252333803929	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	fail
s_069-T2b_B2_DNA_trimmed_read2	s_069-T2b_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32143660.0	0.0	75-151	49.0	81.01847278542675	138.63826477756422	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	fail
s_072-T2b_B2_DNA_trimmed_read1	s_072-T2b_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34732912.0	0.0	75-151	51.0	79.45631640686769	143.9971639003375	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	fail
s_072-T2b_B2_DNA_trimmed_read2	s_072-T2b_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34732912.0	0.0	75-151	51.0	80.25291582319802	138.11159548039046	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	fail
