Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
s_060-T2b_B2_DNA_trimmed_read1	15.432178732286246	48.0	143.82116984306896	27.27272727272727	24716905.0
s_060-T2b_B2_DNA_trimmed_read2	14.57256753171528	48.0	138.60646606037446	9.090909090909092	24716905.0
s_061-T2b_B2_DNA_trimmed_read1	15.224635774103078	48.0	143.9202651487124	27.27272727272727	18650364.0
s_061-T2b_B2_DNA_trimmed_read2	14.639254130833805	48.0	139.43729559380182	18.181818181818183	18650364.0
s_064-T2b_B2_DNA_trimmed_read1	31.11607723538718	50.0	145.07582708716518	18.181818181818183	20655864.0
s_064-T2b_B2_DNA_trimmed_read2	30.03845200004676	50.0	139.94223422462503	18.181818181818183	20655864.0
s_065-T2b_B2_DNA_trimmed_read1	20.333337139563184	49.0	144.26266255750187	18.181818181818183	39472417.0
s_065-T2b_B2_DNA_trimmed_read2	19.377579971382247	49.0	138.75459711524633	18.181818181818183	39472417.0
s_068-T2b_B2_DNA_trimmed_read1	16.889259746835222	50.0	143.61791576611836	9.090909090909092	25522414.0
s_068-T2b_B2_DNA_trimmed_read2	16.293631398954005	50.0	138.743025561767	9.090909090909092	25522414.0
s_069-T2b_B2_DNA_trimmed_read1	19.563227836447723	49.0	144.252333803929	18.181818181818183	32143660.0
s_069-T2b_B2_DNA_trimmed_read2	18.981527214573248	49.0	138.63826477756422	18.181818181818183	32143660.0
s_072-T2b_B2_DNA_trimmed_read1	20.543683593132315	51.0	143.9971639003375	18.181818181818183	34732912.0
s_072-T2b_B2_DNA_trimmed_read2	19.747084176801977	51.0	138.11159548039046	18.181818181818183	34732912.0
s_073-T2b-1c_B2_DNA_trimmed_read1	15.646960112916247	51.0	143.54583125300704	9.090909090909092	29085982.0
s_073-T2b-1c_B2_DNA_trimmed_read2	14.268260661240575	51.0	138.11862614781236	9.090909090909092	29085982.0
s_077-T2a_B2_DNA_trimmed_read1	52.16901149221969	49.0	144.62455147193015	18.181818181818183	11397280.0
s_077-T2a_B2_DNA_trimmed_read2	50.55820006596789	49.0	140.50529722881248	27.27272727272727	11397280.0
s_078-T2a_B2_DNA_trimmed_read1	15.446596528527039	47.0	144.20222947941141	9.090909090909092	35774181.0
s_078-T2a_B2_DNA_trimmed_read2	15.173949828800374	47.0	139.1139210147117	9.090909090909092	35774181.0
s_081-T2a_B2_DNA_trimmed_read1	16.763506218186137	50.0	143.6686524660432	9.090909090909092	28182941.0
s_081-T2a_B2_DNA_trimmed_read2	15.580170674954715	50.0	138.05989225893777	9.090909090909092	28182941.0
s_082-T2a_B2_DNA_trimmed_read1	54.538867091311886	48.0	145.2992427101873	18.181818181818183	43542511.0
